epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.825,1.89171,2.52056,1.40744,0.55924,0.67107,0.65158,0.3042,1.58736,3.0845,1.26606,0.00333086,0.00333086,0.00333086
2,605.249,1.77416,1.58219,1.38212,0.61335,0.7321,0.72051,0.32532,1.54841,2.09287,1.25963,0.00659822,0.00659822,0.00659822
3,903.401,1.8508,1.69623,1.43413,0.52481,0.60943,0.5628,0.25449,1.55355,6.03317,1.33016,0.00979958,0.00979958,0.00979958
4,1195.67,1.85003,1.65128,1.46818,0.59057,0.68454,0.68272,0.32484,1.58712,3.54008,1.34508,0.009703,0.009703,0.009703
5,1488.03,1.79431,1.52089,1.4377,0.58878,0.73276,0.74132,0.39259,1.41894,2.64703,1.23923,0.009604,0.009604,0.009604
6,1780.58,1.74333,1.44489,1.42069,0.65844,0.68106,0.72449,0.37168,1.46682,2.45272,1.2763,0.009505,0.009505,0.009505
7,2073.39,1.7138,1.36534,1.40006,0.78383,0.77084,0.83146,0.43965,1.39005,1.86335,1.20938,0.009406,0.009406,0.009406
8,2365.91,1.68339,1.33205,1.38297,0.67392,0.7736,0.79481,0.41188,1.40118,2.93128,1.2092,0.009307,0.009307,0.009307
9,2657.34,1.67118,1.2931,1.38015,0.7649,0.76848,0.82444,0.44952,1.36699,2.49202,1.1975,0.009208,0.009208,0.009208
10,2948.45,1.65512,1.26647,1.35881,0.82755,0.81588,0.88188,0.4779,1.32678,1.4568,1.18075,0.009109,0.009109,0.009109
11,3227.17,1.64261,1.23442,1.34525,0.76632,0.82061,0.8639,0.49302,1.31684,1.68945,1.16497,0.00901,0.00901,0.00901
12,3503.32,1.61458,1.20393,1.33859,0.77078,0.83074,0.88007,0.49244,1.31664,1.52263,1.15763,0.008911,0.008911,0.008911
13,3780.84,1.59813,1.17797,1.33549,0.81,0.886,0.91157,0.52131,1.31024,1.63565,1.14693,0.008812,0.008812,0.008812
14,4059.44,1.57607,1.14698,1.30597,0.80286,0.82076,0.88274,0.51447,1.29956,1.32207,1.15189,0.008713,0.008713,0.008713
15,4337.39,1.55905,1.13152,1.31261,0.87456,0.82737,0.90466,0.52355,1.28985,1.4143,1.14647,0.008614,0.008614,0.008614
16,4616.54,1.56147,1.11405,1.30206,0.83029,0.82684,0.88831,0.52272,1.26643,1.54822,1.12384,0.008515,0.008515,0.008515
17,4895.81,1.53631,1.09106,1.29397,0.77802,0.87035,0.89676,0.52608,1.29518,1.25795,1.13677,0.008416,0.008416,0.008416
18,5173.97,1.53184,1.08885,1.3004,0.86533,0.87458,0.91197,0.55543,1.23335,1.20109,1.1099,0.008317,0.008317,0.008317
19,5453.3,1.52474,1.08223,1.28573,0.87423,0.9126,0.9275,0.55151,1.23613,1.37866,1.1138,0.008218,0.008218,0.008218
20,5732.02,1.50651,1.05453,1.26996,0.8716,0.86477,0.91232,0.54911,1.25453,1.36655,1.11761,0.008119,0.008119,0.008119
21,6009.86,1.49248,1.04507,1.26669,0.84273,0.89676,0.91317,0.56576,1.22453,1.54434,1.0964,0.00802,0.00802,0.00802
22,6288.42,1.49849,1.0431,1.26562,0.86673,0.90476,0.92576,0.57904,1.19624,1.33047,1.08448,0.007921,0.007921,0.007921
23,6567.92,1.4843,1.02825,1.26553,0.87569,0.8807,0.93697,0.56854,1.20085,1.26239,1.08816,0.007822,0.007822,0.007822
24,6846.28,1.47213,1.01434,1.25359,0.8713,0.87135,0.93121,0.59442,1.18337,1.26358,1.07747,0.007723,0.007723,0.007723
25,7124.99,1.46477,0.99217,1.24862,0.87836,0.90185,0.93675,0.59095,1.16178,1.13303,1.07602,0.007624,0.007624,0.007624
26,7403.57,1.45499,0.99573,1.2489,0.895,0.91891,0.94613,0.58668,1.1835,1.11264,1.08548,0.007525,0.007525,0.007525
27,7681.74,1.45901,0.99517,1.24541,0.87686,0.89973,0.93321,0.60212,1.15269,1.03727,1.06954,0.007426,0.007426,0.007426
28,7960.15,1.45737,0.99425,1.23351,0.8794,0.88915,0.93895,0.60659,1.13945,1.12739,1.05729,0.007327,0.007327,0.007327
29,8239.18,1.43854,0.97572,1.23674,0.87861,0.89991,0.93791,0.60793,1.13371,1.1209,1.05273,0.007228,0.007228,0.007228
30,8517.95,1.42658,0.96229,1.23387,0.91102,0.91089,0.94004,0.60138,1.13223,1.04182,1.05121,0.007129,0.007129,0.007129
31,8795.93,1.41636,0.95956,1.21937,0.90368,0.91115,0.94614,0.62366,1.11849,1.01029,1.04036,0.00703,0.00703,0.00703
32,9074.71,1.41848,0.94917,1.22549,0.89456,0.91119,0.94231,0.62501,1.11723,1.01043,1.03974,0.006931,0.006931,0.006931
33,9353.09,1.40623,0.94761,1.21942,0.90812,0.92108,0.95187,0.6273,1.10797,1.0954,1.03973,0.006832,0.006832,0.006832
34,9632.26,1.41017,0.94218,1.22223,0.88629,0.89982,0.94256,0.62463,1.10865,1.01962,1.0333,0.006733,0.006733,0.006733
35,9910.72,1.39951,0.93437,1.22057,0.91822,0.92459,0.95247,0.62724,1.10608,1.01845,1.03638,0.006634,0.006634,0.006634
36,10189.6,1.38969,0.91607,1.21077,0.90952,0.92635,0.94846,0.63099,1.10949,1.0784,1.03612,0.006535,0.006535,0.006535
37,10467.4,1.38191,0.91905,1.20859,0.89963,0.93305,0.95708,0.63731,1.0974,1.06933,1.02367,0.006436,0.006436,0.006436
38,10746.5,1.37705,0.90509,1.20096,0.90608,0.92833,0.95861,0.62603,1.095,1.064,1.01971,0.006337,0.006337,0.006337
39,11025.8,1.36831,0.89695,1.20427,0.91581,0.92624,0.95672,0.6481,1.08283,0.99875,1.02256,0.006238,0.006238,0.006238
40,11303.4,1.35112,0.89111,1.19479,0.90854,0.9312,0.95522,0.64111,1.08881,1.05899,1.02007,0.006139,0.006139,0.006139
41,11584.2,1.35914,0.90525,1.19263,0.92538,0.92467,0.95628,0.6458,1.06739,1.02436,1.00771,0.00604,0.00604,0.00604
42,11862.6,1.34458,0.87911,1.18513,0.90727,0.9326,0.94963,0.64418,1.0747,0.89354,1.01046,0.005941,0.005941,0.005941
43,12140.8,1.33968,0.87308,1.18219,0.89656,0.94006,0.95149,0.65259,1.05402,0.92238,1.00383,0.005842,0.005842,0.005842
44,12418.7,1.34375,0.88475,1.18564,0.92324,0.93512,0.95425,0.65189,1.06014,0.94125,1.00841,0.005743,0.005743,0.005743
45,12697.1,1.3304,0.85585,1.17211,0.92446,0.93098,0.95864,0.65556,1.04321,0.93411,1.00713,0.005644,0.005644,0.005644
46,12975.7,1.31503,0.86385,1.17596,0.92253,0.93732,0.95965,0.65449,1.0383,1.0081,0.99992,0.005545,0.005545,0.005545
47,13254.4,1.31468,0.85247,1.16896,0.92377,0.93987,0.95958,0.65846,1.02637,1.01077,0.99119,0.005446,0.005446,0.005446
48,13533.1,1.30828,0.8522,1.17525,0.91648,0.94746,0.96349,0.65772,1.02749,0.98174,0.98963,0.005347,0.005347,0.005347
49,13810.9,1.3085,0.84781,1.17,0.91907,0.94473,0.96161,0.66141,1.03563,0.92443,0.99254,0.005248,0.005248,0.005248
50,14090.2,1.30059,0.83783,1.16496,0.92035,0.94283,0.96391,0.66564,1.02676,0.90787,0.98893,0.005149,0.005149,0.005149
51,14369.6,1.3072,0.83399,1.17049,0.92849,0.94342,0.96194,0.6677,1.02765,0.86887,0.9869,0.00505,0.00505,0.00505
52,14648.9,1.28922,0.83133,1.15906,0.919,0.94878,0.96446,0.67269,1.01947,0.90454,0.98449,0.004951,0.004951,0.004951
53,14926.6,1.28819,0.83167,1.15723,0.92704,0.94017,0.96085,0.67072,1.02325,0.93301,0.98532,0.004852,0.004852,0.004852
54,15205.7,1.28772,0.82085,1.16038,0.92476,0.94539,0.95817,0.6734,1.01279,0.99826,0.9793,0.004753,0.004753,0.004753
55,15485.1,1.26515,0.80038,1.14834,0.92845,0.95052,0.96352,0.67229,1.0071,0.96077,0.97384,0.004654,0.004654,0.004654
