epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.59,1.89037,2.61417,1.38559,0.6818,0.63073,0.65724,0.30227,1.52107,2.13835,1.21769,0.0033321,0.0033321,0.0033321
2,637.043,1.81175,1.69994,1.38957,0.61214,0.69647,0.70162,0.33494,1.43804,2.19684,1.21015,0.00659944,0.00659944,0.00659944
3,943.657,1.86761,1.83881,1.44968,0.53489,0.48918,0.51085,0.23835,1.47782,3.24385,1.26671,0.00980079,0.00980079,0.00980079
4,1250.59,1.90558,1.85436,1.4938,0.55217,0.68432,0.62231,0.30834,1.44539,2.65981,1.25025,0.009703,0.009703,0.009703
5,1558.84,1.84144,1.72257,1.47504,0.5713,0.76292,0.69863,0.34465,1.40421,1.69209,1.21442,0.009604,0.009604,0.009604
6,1864.7,1.79837,1.60229,1.45048,0.6054,0.71947,0.71048,0.36969,1.40765,1.41829,1.2216,0.009505,0.009505,0.009505
7,2170.25,1.76268,1.50174,1.42409,0.69413,0.73094,0.75955,0.41214,1.3515,1.34815,1.16899,0.009406,0.009406,0.009406
8,2475.87,1.72715,1.44019,1.40814,0.72964,0.79372,0.81523,0.42732,1.33799,1.85676,1.179,0.009307,0.009307,0.009307
9,2782.35,1.71256,1.40254,1.4003,0.82035,0.77997,0.84759,0.46072,1.32421,1.67346,1.1665,0.009208,0.009208,0.009208
10,3089.29,1.69464,1.34764,1.38129,0.73714,0.78589,0.82941,0.45677,1.32982,1.19656,1.1656,0.009109,0.009109,0.009109
11,3396.72,1.68703,1.35026,1.38135,0.77094,0.82679,0.85535,0.47554,1.3024,1.29127,1.14272,0.00901,0.00901,0.00901
12,3702.96,1.65687,1.29872,1.35856,0.76509,0.78723,0.84216,0.4781,1.2933,1.25531,1.1435,0.008911,0.008911,0.008911
13,4009.14,1.65594,1.28153,1.36281,0.78844,0.82859,0.87241,0.47763,1.29225,1.43894,1.13456,0.008812,0.008812,0.008812
14,4314.09,1.63201,1.25133,1.35284,0.85903,0.84853,0.89015,0.51906,1.26272,1.28604,1.12459,0.008713,0.008713,0.008713
15,4621.36,1.61954,1.25796,1.33468,0.77718,0.84583,0.88082,0.50729,1.26629,1.15157,1.13092,0.008614,0.008614,0.008614
16,4928.85,1.60747,1.22094,1.32839,0.8482,0.82012,0.8762,0.50513,1.26446,1.21137,1.11457,0.008515,0.008515,0.008515
17,5234.83,1.59559,1.20461,1.31421,0.81744,0.86602,0.90456,0.52634,1.23455,1.03989,1.10179,0.008416,0.008416,0.008416
18,5542.28,1.5692,1.16213,1.31002,0.83416,0.8494,0.90007,0.52684,1.24829,1.09027,1.10276,0.008317,0.008317,0.008317
19,5848.54,1.5606,1.16382,1.30746,0.85008,0.85719,0.90215,0.52797,1.241,1.09821,1.1051,0.008218,0.008218,0.008218
20,6154.29,1.5672,1.17293,1.30529,0.84478,0.85601,0.91534,0.54083,1.22336,0.98279,1.09577,0.008119,0.008119,0.008119
21,6458.45,1.56297,1.16371,1.30351,0.86481,0.8424,0.91087,0.55104,1.19464,1.03471,1.07356,0.00802,0.00802,0.00802
22,6766.58,1.54591,1.12347,1.2887,0.84958,0.89561,0.91822,0.55848,1.18922,1.12292,1.06588,0.007921,0.007921,0.007921
23,7073.74,1.53606,1.11795,1.28389,0.8489,0.85291,0.91524,0.56356,1.19556,1.01864,1.07628,0.007822,0.007822,0.007822
24,7382.2,1.52919,1.11428,1.28542,0.85396,0.84687,0.92158,0.5636,1.1763,1.01555,1.05924,0.007723,0.007723,0.007723
25,7688.69,1.52519,1.10356,1.2786,0.87673,0.8707,0.93603,0.57848,1.15905,1.0168,1.04297,0.007624,0.007624,0.007624
26,7994.87,1.5169,1.10201,1.27428,0.89289,0.86281,0.92886,0.57689,1.16107,0.98924,1.051,0.007525,0.007525,0.007525
27,8299.55,1.50855,1.08878,1.26985,0.86928,0.87226,0.92167,0.57343,1.16547,0.9565,1.05348,0.007426,0.007426,0.007426
28,8605.9,1.49467,1.08636,1.25715,0.84609,0.85545,0.91964,0.57452,1.15031,1.04884,1.04813,0.007327,0.007327,0.007327
29,8913.92,1.49851,1.06512,1.26611,0.87658,0.88269,0.92619,0.57936,1.14818,0.96451,1.04445,0.007228,0.007228,0.007228
30,9221.99,1.48768,1.05689,1.25878,0.88213,0.89423,0.93725,0.59615,1.13517,1.02759,1.03318,0.007129,0.007129,0.007129
31,9530.46,1.47946,1.04907,1.25359,0.88195,0.8872,0.93725,0.58726,1.14464,0.97275,1.03892,0.00703,0.00703,0.00703
32,9836.31,1.48008,1.04721,1.25485,0.88533,0.87248,0.93543,0.59259,1.1256,0.91432,1.03246,0.006931,0.006931,0.006931
33,10141.8,1.46431,1.02909,1.25156,0.88434,0.89306,0.94402,0.60763,1.1047,0.8746,1.02402,0.006832,0.006832,0.006832
34,10447,1.4738,1.02691,1.25483,0.86603,0.88255,0.93566,0.60249,1.11992,0.93632,1.02237,0.006733,0.006733,0.006733
35,10751.6,1.45262,1.00857,1.24271,0.89008,0.8795,0.93244,0.59605,1.12567,0.92554,1.02731,0.006634,0.006634,0.006634
36,11059.2,1.45308,1.0136,1.23851,0.90931,0.88593,0.94011,0.60737,1.11568,0.93117,1.02373,0.006535,0.006535,0.006535
37,11364.9,1.44177,0.99749,1.23245,0.90005,0.90604,0.94629,0.60954,1.10985,0.9109,1.02157,0.006436,0.006436,0.006436
38,11671.6,1.43073,0.99414,1.23145,0.91736,0.89548,0.94894,0.61889,1.09717,0.88733,1.01233,0.006337,0.006337,0.006337
39,11977.5,1.42264,0.98655,1.22441,0.90297,0.90416,0.95547,0.60368,1.11264,0.91247,1.01649,0.006238,0.006238,0.006238
40,12282.8,1.41833,0.98421,1.22095,0.91277,0.89511,0.95446,0.60744,1.10326,0.87768,1.01648,0.006139,0.006139,0.006139
41,12588.8,1.42323,0.98299,1.22255,0.89264,0.89368,0.94436,0.61281,1.08085,0.90769,1.00756,0.00604,0.00604,0.00604
